CANCER_TYPE	NUMBER_SAMPLES	HOTSPOTS_TOTAL	HOTSPOTS_SNV	HOTSPOTS_SNV_F	HOTSPOTS_MNV	HOTSPOTS_MNV_F	HOTSPOTS_INS	HOTSPOTS_INS_F	HOTSPOTS_DEL	HOTSPOTS_DEL_F	MUTATIONS_TOTAL	MUTATIONS_SNV	MUTATIONS_MNV	MUTATIONS_INS	MUTATIONS_DEL	MUTATIONS_IN_H_TOTAL	MUTATIONS_IN_H_SNV	MUTATIONS_IN_H_MNV	MUTATIONS_IN_H_INS	MUTATIONS_IN_H_DEL
ACC	20	2	1	0.5	0	0	0	0	1	0.5	16032	15999	0	8	25	4	2	0	0	2
ALL	277	377	371	0.984084880636605	0	0	3	0.007957559681698	3	0.007957559681698	148459	148006	192	148	113	859	844	0	8	7
AML	34	64	64	1	0	0	0	0	0	0	32370	31467	88	315	500	128	128	0	0	0
AN	14	102	42	0.411764705882353	0	0	27	0.264705882352941	33	0.323529411764706	200805	178418	3209	8673	10505	206	84	0	54	68
BCC	6	336	327	0.973214285714286	2	0.005952380952381	5	0.014880952380952	2	0.005952380952381	472115	452179	15353	2029	2554	673	655	4	10	4
BILIARY_TRACT	102	1375	441	0.320727272727273	14	0.010181818181818	457	0.332363636363636	463	0.336727272727273	676119	607069	4936	30541	33573	2914	916	32	999	967
BLADDER_URI	162	11375	6468	0.568615384615385	35	0.003076923076923	1360	0.11956043956044	3512	0.308747252747253	3345546	3131895	25079	61209	127363	24109	13478	83	2978	7570
BONE_SOFT_TISSUE	375	2538	959	0.37785657998424	28	0.011032308904649	827	0.325847123719464	724	0.285263987391647	1104965	1020909	7538	26894	49624	5858	2058	65	1980	1755
BOWEL	545	177788	84612	0.475915134879744	448	0.002519855108331	38359	0.215756968974284	54369	0.30580804103764	8640280	7590509	85465	451194	513112	434105	186963	1101	90445	155596
BRAIN	475	3346	2549	0.761805140466228	6	0.001793185893604	421	0.125821876867902	370	0.110579796772265	928857	851444	2602	26323	48488	6999	5249	12	934	804
BRCA	784	35405	19133	0.540403897754554	314	0.008868803841265	7459	0.210676458127383	8499	0.240050840276797	5716981	5195039	35007	163817	323118	85218	42155	760	20244	22059
CERVIX	44	298	152	0.51006711409396	2	0.006711409395973	72	0.241610738255034	72	0.241610738255034	410150	379557	3753	11576	15264	607	309	4	147	147
COADREAD	479	165473	77732	0.469756395303161	416	0.002514005306002	35643	0.215400699812054	51682	0.312328899578783	8120155	7124516	79753	429818	486068	401309	171097	1011	83066	146135
CSCC	10	4366	4276	0.979386165826844	29	0.006642235455795	13	0.002977553825011	48	0.01099404489235	1895813	1740915	96372	15066	43460	8755	8575	58	26	96
EPM	39	1	1	1	0	0	0	0	0	0	8788	8747	0	10	31	2	2	0	0	0
ES	216	106025	80216	0.756576279179439	63	0.000594199481254	5504	0.051912284838482	20242	0.190917236500825	5130106	4715227	21606	154920	238353	234163	174005	140	11637	48381
ESOPHA_STOMACH	313	148188	112296	0.757794153372743	97	0.000654573919616	8169	0.055125921127217	27626	0.186425351580425	6468371	5940474	28230	196703	302964	333108	247130	223	17463	68292
GBM	92	1938	1305	0.673374613003096	6	0.003095975232198	305	0.157378740970072	322	0.166150670794634	608951	557169	2049	12919	36814	4061	2645	12	699	705
HEAD_NECK	105	962	506	0.525987525987526	4	0.004158004158004	250	0.25987525987526	202	0.20997920997921	1013035	936975	10505	25901	39654	1987	1020	8	532	427
HGGNOS	20	56	56	1	0	0	0	0	0	0	21334	21290	1	8	35	114	114	0	0	0
KIDNEY	317	1649	852	0.516676773802304	18	0.010915706488781	458	0.277744087325652	321	0.194663432383263	1535075	1339476	18729	45735	131135	3532	1761	37	1035	699
LGGNOS	38	258	258	1	0	0	0	0	0	0	7890	7883	0	4	3	560	560	0	0	0
LIVER	356	4343	3259	0.750402947271471	6	0.001381533502187	801	0.184434722542022	277	0.06378079668432	3827964	3584848	39697	74289	129130	9036	6698	13	1628	697
LNET	8	8	2	0.25	0	0	3	0.375	3	0.375	53864	48611	562	2365	2326	16	4	0	6	6
LNM	1419	10089	7843	0.777381306373278	24	0.002378828427	520	0.051541282584994	1702	0.168698582614729	1647004	1524983	6238	44693	71090	29196	24521	52	1057	3566
LUNG	468	91949	58662	0.637984099881456	214	0.002327377132976	7569	0.082317371586423	25504	0.277371151399145	15451776	14295424	291101	245126	620125	194153	119294	491	17539	56829
MBL	179	134	78	0.582089552238806	0	0	49	0.365671641791045	7	0.052238805970149	216051	195085	425	12262	8279	271	157	0	100	14
MNM	57	68	68	1	0	0	0	0	0	0	53893	52286	124	508	975	136	136	0	0	0
MPN	23	1	1	1	0	0	0	0	0	0	21523	20819	36	193	475	2	2	0	0	0
NBL	259	52	31	0.596153846153846	0	0	14	0.269230769230769	7	0.134615384615385	57156	52702	9	3922	523	133	84	0	31	18
NHL	1142	9466	7226	0.763363617156138	24	0.002535389816184	517	0.054616522290302	1699	0.179484470737376	1498545	1376977	6046	44545	70977	27832	23172	52	1049	3559
NSCLC	413	76499	45667	0.596962051791527	159	0.002078458541942	6535	0.085425953280435	24138	0.315533536386097	13556226	12523271	249147	221569	562239	161347	92793	361	14845	53348
ODG	18	6	5	0.833333333333333	0	0	0	0	1	0.166666666666667	46143	42404	86	848	2805	12	10	0	0	2
OV	247	3503	1667	0.475877819012275	26	0.007422209534685	911	0.260062803311447	899	0.256637168141593	2045403	1878184	20272	37859	109088	7686	3430	57	2155	2044
PANCANCER	7506	3106161	2652194	0.853849494601213	3282	0.00105660975075	220640	0.071033021147326	230045	0.07406087450071	80598703	74653623	1056990	1809350	3078740	7422943	5952689	10434	635567	824253
PANCREAS	390	8293	4709	0.567828288918365	24	0.00289400699385	1872	0.225732545520318	1688	0.203545158567466	1868832	1679292	8415	89302	91823	17227	9626	52	3929	3620
PAST	89	5	4	0.8	0	0	0	0	1	0.2	19700	18866	41	272	521	10	8	0	0	2
PLMESO	33	105	30	0.285714285714286	1	0.00952380952381	46	0.438095238095238	28	0.266666666666667	107369	96727	1256	3606	5780	217	60	2	98	57
PROSTATE	524	21756	9675	0.444704908990623	106	0.004872219157933	7042	0.323680823680824	4933	0.22674204817062	2698193	2352147	16844	149678	179524	49266	20982	259	16264	11761
RBL	14	0	0	0	0	0	0	0	0	0	1785	1784	0	0	1	0	0	0	0	0
SBC	10	205	68	0.331707317073171	0	0	30	0.146341463414634	107	0.521951219512195	208562	185883	1847	9098	11734	411	137	0	60	214
SBNET	42	309	99	0.320388349514563	2	0.006472491909385	114	0.368932038834951	94	0.3042071197411	110758	101692	656	3605	4805	661	209	4	252	196
SCLC	47	1249	970	0.77662129703763	8	0.006405124099279	140	0.11208967173739	131	0.104883907125701	1841686	1723542	41392	21192	55560	2538	1949	18	298	273
SKCM	347	1095121	1089776	0.995119260794013	525	0.000479399080102	1874	0.001711226430687	2946	0.002690113695199	19864239	19282323	334888	76016	171012	2455380	2442843	1194	4681	6662
SKIN	363	1234203	1225645	0.993065970508903	800	0.000648191585987	2345	0.001900011586425	5413	0.004385826318685	22232167	21475417	446613	93111	217026	2773492	2754007	1801	5795	11889
ST	97	7153	4882	0.682510834614847	8	0.001118411855166	387	0.054103173493639	1876	0.262267580036348	1338265	1225247	6624	41783	64611	14794	10020	17	794	3963
THYROID	65	54	20	0.37037037037037	0	0	12	0.222222222222222	22	0.407407407407407	133193	122681	766	3140	6606	109	40	0	24	45
UCEC	62	1123	299	0.266251113089938	4	0.003561887800534	159	0.141585040071238	661	0.58860195903829	543156	459778	3261	21590	58527	2290	616	8	323	1343
VULVA	7	19	3	0.157894736842105	0	0	3	0.157894736842105	13	0.68421052631579	75401	68024	550	2625	4202	38	6	0	6	26
